,gen_1_dispatched,gen_2_dispatched,gen_3_dispatched,gen_4_dispatched,gen_5_dispatched,gen_6_dispatched,gen_7_dispatched,gen_8_dispatched,gen_9_dispatched,gen_10_dispatched,Reserve Size,Disturbance Size,ROCOF,Settling Frequency,Nadir
99,1000.0,0.0,650.0,540.0,254.0,650.0,560.0,540.0,830.0,250.0,35.0,560.0,0.15360872014,49.2036095869,48.3230579387
100,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,830.0,250.0,55.0,540.0,0.144702145047,49.3390633314,48.549653276
101,960.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,830.0,250.0,600.0,250.0,0.0571922435042,49.5466734185,49.5466734185
102,1000.0,0.0,650.0,632.0,254.0,652.0,560.0,540.0,830.0,250.0,35.0,560.0,0.147657085757,49.2973319999,48.5148275429
103,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,760.0,250.0,48.0,632.0,0.164586744191,49.2214642632,48.2113192458
104,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,510.0,830.0,250.0,85.0,510.0,0.136343394313,49.405035511,48.5690348341
105,860.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,830.0,250.0,35.0,560.0,0.164780707039,49.1916569227,47.7578877944
106,1000.0,0.0,650.0,632.0,254.0,650.0,524.0,540.0,830.0,250.0,20.0,830.0,0.216204014018,49.0177601336,47.3733603404
107,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,561.0,830.0,250.0,34.0,561.0,0.150551758757,49.3066413497,48.4905373328
108,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,786.0,250.0,55.0,540.0,0.143987806349,49.3983579661,48.5803655377
109,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,828.0,250.0,1.0,254.0,0.115672132745,49.4660379528,49.0346777263
110,1000.0,0.0,605.0,632.0,254.0,650.0,560.0,540.0,830.0,250.0,75.0,605.0,0.141260819186,49.3254849662,48.3040702252
111,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,840.0,250.0,55.0,540.0,0.145729854992,49.3215240173,48.5272826532
112,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,768.0,250.0,30.0,650.0,0.153007998823,49.266670357,48.3127702037
113,1000.0,0.0,650.0,632.0,231.0,650.0,560.0,540.0,830.0,250.0,35.0,560.0,0.145798570276,49.3430599747,48.5358716545
114,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,830.0,395.0,30.0,650.0,0.147716148481,49.2356687027,48.3600956161
115,1000.0,0.0,650.0,632.0,254.0,650.0,568.0,540.0,830.0,250.0,7500.0,1000.0,0.414904483736,48.9335108824,46.5986445484
116,1300.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,830.0,250.0,20.0,830.0,0.21703554557,48.9199307818,47.6008913851
117,1000.0,0.0,650.0,632.0,230.0,650.0,560.0,540.0,830.0,250.0,35.0,560.0,0.145793612847,49.3389254,48.5346775849
118,1000.0,0.0,650.0,632.0,239.0,650.0,560.0,540.0,830.0,250.0,600.0,250.0,0.0568794193111,49.5940593424,49.5940593424
119,1000.0,0.0,650.0,632.0,254.0,650.0,524.0,540.0,830.0,250.0,48.0,632.0,0.164521803828,49.2225834361,48.2044113115
120,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,842.0,250.0,55.0,540.0,0.146054179303,49.318269246,48.52131268
121,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,784.0,250.0,30.0,650.0,0.162916376909,49.2971676846,48.2888513799
122,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,832.0,250.0,18.0,832.0,0.216672705373,48.9955096099,47.3693301453
123,1000.0,0.0,650.0,640.0,254.0,650.0,560.0,540.0,830.0,250.0,30.0,650.0,0.152205685475,49.2237877258,48.2907988791
124,1000.0,0.0,650.0,632.0,254.0,632.0,560.0,540.0,830.0,250.0,20.0,830.0,0.215773653544,49.0694304524,47.3708800416
125,1000.0,0.0,650.0,632.0,254.0,664.0,560.0,540.0,830.0,250.0,16.0,664.0,0.168580657186,49.2001076152,48.2539526239
126,1000.0,0.0,650.0,632.0,240.0,650.0,560.0,540.0,830.0,250.0,35.0,560.0,0.145868617103,49.3555683859,48.539104006
127,1000.0,0.0,650.0,520.0,254.0,650.0,560.0,540.0,830.0,250.0,55.0,540.0,0.154332223145,49.1911709755,48.2585075151
128,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,830.0,250.0,48.0,632.0,0.164561470557,49.2114446977,48.1992474826
129,1000.0,0.0,615.0,632.0,254.0,650.0,560.0,540.0,830.0,250.0,1.0,254.0,0.115710426393,49.4665119102,49.0879485917
130,1080.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,830.0,250.0,1.0,254.0,0.115902279384,49.4624168262,49.0225586104
131,1000.0,0.0,650.0,632.0,245.0,650.0,560.0,540.0,830.0,250.0,30.0,650.0,0.150999018728,49.2833263056,48.3096536279
132,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,516.0,830.0,250.0,20.0,830.0,0.215966578381,48.9893382008,47.3636490765
133,1000.0,0.0,615.0,632.0,254.0,650.0,560.0,540.0,830.0,250.0,20.0,830.0,0.215827872245,49.0681097614,47.3807357705
134,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,561.0,830.0,250.0,30.0,650.0,0.16452766954,49.2158135831,48.2482709562
135,1100.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,830.0,250.0,1.0,254.0,0.115975352006,49.4622524249,49.0216544486
136,1000.0,0.0,625.0,632.0,254.0,650.0,560.0,540.0,830.0,250.0,55.0,540.0,0.144692649427,49.3600982869,48.5739139221
137,1000.0,0.0,650.0,632.0,254.0,650.0,568.0,540.0,830.0,250.0,600.0,250.0,0.0571516759074,49.5414985007,49.5414985007
138,1000.0,0.0,650.0,630.0,254.0,650.0,560.0,540.0,830.0,250.0,35.0,560.0,0.147588195802,49.2987134167,48.5199159847
139,1000.0,0.0,650.0,632.0,245.0,650.0,560.0,540.0,830.0,250.0,48.0,632.0,0.162581012398,49.2587170854,48.2110134927
140,1000.0,0.0,640.0,632.0,254.0,650.0,560.0,540.0,830.0,250.0,40.0,640.0,0.149953446776,49.2638617141,48.3035941117
141,1000.0,0.0,650.0,632.0,254.0,650.0,540.0,540.0,830.0,250.0,7500.0,1000.0,0.415978634774,48.9816893479,46.6052731272
142,840.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,830.0,250.0,600.0,250.0,0.0747737200304,47.8378144958,47.8378144958
143,1100.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,830.0,250.0,30.0,650.0,0.149149855219,49.2310659119,48.3606063645
144,1000.0,0.0,650.0,632.0,236.0,650.0,560.0,540.0,830.0,250.0,7500.0,1000.0,0.413182325777,48.9515068857,46.6053571507
145,1000.0,0.0,650.0,632.0,254.0,620.0,560.0,540.0,830.0,250.0,60.0,620.0,0.155990218805,49.3042777177,48.2805429325
146,1000.0,0.0,670.0,632.0,254.0,650.0,560.0,540.0,830.0,250.0,10.0,670.0,0.157249198517,49.2012237684,48.2731445889
147,880.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,830.0,250.0,35.0,560.0,0.160474140979,49.223610267,47.8743203155
148,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,756.0,250.0,600.0,250.0,0.057976945261,49.5243908098,49.5243908098
149,1000.0,0.0,600.0,632.0,254.0,650.0,560.0,540.0,830.0,250.0,30.0,650.0,0.164830812481,49.2292366706,48.2800614072
150,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,786.0,250.0,48.0,632.0,0.162715225825,49.2918317714,48.2178501544
151,1000.0,0.0,640.0,632.0,254.0,650.0,560.0,540.0,830.0,250.0,1.0,254.0,0.115775903768,49.4691627678,49.0648318941
152,1000.0,0.0,650.0,580.0,254.0,650.0,560.0,540.0,830.0,250.0,1.0,254.0,0.115656804471,49.458740898,48.9644852769
153,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,818.0,250.0,35.0,560.0,0.146714071512,49.3219297513,48.532604901
154,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,776.0,250.0,1.0,254.0,0.114963036648,49.4828541725,49.1056306332
155,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,830.0,250.0,55.0,540.0,0.144702145047,49.3390633314,48.549653276
156,1000.0,0.0,670.0,632.0,254.0,650.0,560.0,540.0,830.0,250.0,7500.0,1000.0,0.416615932636,48.9030121911,46.5832803292
157,1000.0,0.0,650.0,632.0,252.0,650.0,560.0,540.0,830.0,250.0,7500.0,1000.0,0.413716008714,48.961933516,46.6033281908
158,1000.0,0.0,650.0,590.0,254.0,650.0,560.0,540.0,830.0,250.0,7500.0,1000.0,0.420501521518,48.9370279223,46.5913861277
159,1120.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,830.0,250.0,30.0,650.0,0.148301371087,49.2313141315,48.3594269844
160,1000.0,0.0,650.0,632.0,254.0,650.0,564.0,540.0,830.0,250.0,7500.0,1000.0,0.414683459818,48.9428839916,46.6003787772
161,960.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,830.0,250.0,30.0,650.0,0.153151063502,49.278182383,48.0968118687
162,1000.0,0.0,650.0,540.0,254.0,650.0,560.0,540.0,830.0,250.0,20.0,830.0,0.224049829381,48.8231146331,47.3213307824
163,1360.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,830.0,250.0,30.0,650.0,0.142853376901,49.2386482279,48.3652210707
164,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,549.0,830.0,250.0,1.0,254.0,0.115815735754,49.4651608829,49.0027455583
165,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,784.0,250.0,30.0,650.0,0.151891613582,49.3040089316,48.3169784207
166,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,836.0,250.0,30.0,650.0,0.165414895863,49.2162594014,48.2623074746
167,1000.0,0.0,650.0,632.0,254.0,664.0,560.0,540.0,830.0,250.0,20.0,830.0,0.216931837427,48.9518654289,47.3657469262
168,1260.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,830.0,250.0,30.0,650.0,0.142921503009,49.2345639261,48.3582442563
169,800.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,830.0,250.0,20.0,830.0,0.248142146415,45.4570814614,45.4570814614
170,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,796.0,250.0,30.0,650.0,0.15178196114,49.3207192621,48.3168893477
171,1000.0,0.0,650.0,632.0,231.0,650.0,560.0,540.0,830.0,250.0,55.0,540.0,0.143014174576,49.3891744249,48.5699971958
172,1000.0,0.0,650.0,520.0,254.0,650.0,560.0,540.0,830.0,250.0,600.0,250.0,0.0649994709922,49.1557814595,49.1557814595
173,1000.0,0.0,650.0,640.0,254.0,650.0,560.0,540.0,830.0,250.0,30.0,650.0,0.164533583168,49.2122236878,48.2620552309
174,1380.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,830.0,250.0,55.0,540.0,0.145762919844,49.3324966902,48.5428087462
175,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,764.0,250.0,48.0,632.0,0.163988044262,49.2314929565,48.2131608034
176,1000.0,0.0,650.0,620.0,254.0,650.0,560.0,540.0,830.0,250.0,55.0,540.0,0.144695660943,49.3305289522,48.5599119639
177,1040.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,830.0,250.0,35.0,560.0,0.147635865972,49.2976202314,48.5448940174
178,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,806.0,250.0,48.0,632.0,0.162977232438,49.2753193349,48.2147294583
179,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,772.0,250.0,78.0,772.0,0.200706913928,49.0844006666,47.368610729
180,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,830.0,350.0,30.0,650.0,0.165007648686,49.2186900381,48.3336891746
181,940.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,830.0,250.0,20.0,830.0,0.217632109582,48.8611673052,47.0394488775
182,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,820.0,250.0,1.0,254.0,0.115298873089,49.4772479255,49.0640708852
183,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,570.0,830.0,250.0,600.0,250.0,0.0569874475068,49.5329670783,49.5329670783
184,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,519.0,830.0,250.0,35.0,560.0,0.147580024761,49.3017678762,48.5128668404
185,1000.0,0.0,635.0,632.0,254.0,650.0,560.0,540.0,830.0,250.0,20.0,830.0,0.215765117128,49.0608350644,47.3767427538
186,1000.0,0.0,665.0,632.0,254.0,650.0,560.0,540.0,830.0,250.0,20.0,830.0,0.217238477308,48.9458734732,47.3592640824
187,1000.0,0.0,650.0,632.0,254.0,650.0,528.0,540.0,830.0,250.0,30.0,650.0,0.153003987831,49.2588064992,48.3045518345
188,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,543.0,830.0,250.0,30.0,650.0,0.152338995198,49.2423466675,48.2967998691
189,1000.0,0.0,650.0,632.0,254.0,664.0,560.0,540.0,830.0,250.0,1.0,254.0,0.116084501448,49.4446731599,48.9746999975
